title,artist,top genre,year released,added,dnce,val,dur,pop,artist type
Heart Attack,Trey Songz,dance pop,2012,2020‑06‑22,61,48,233,61,Solo
Rack City,Tyga,dance pop,2012,2020‑06‑22,93,27,203,67,Solo
Faded,Tyga,dance pop,2012,2020‑06‑22,83,34,207,63,Solo
Climax,Usher,atl hip hop,2012,2020‑06‑22,65,33,233,65,Solo
Anna Sun,WALK THE MOON,dance pop,2012,2021‑08‑09,47,34,321,68,Band/Group
"Work Hard, Play Hard",Wiz Khalifa,dance pop,2012,2020‑06‑22,79,49,219,67,Solo
We Own It (Fast & Furious),2 Chainz,atl hip hop,2013,2020‑06‑11,56,56,228,75,Solo
"F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)",A$AP Rocky,east coast hip hop,2013,2020‑06‑11,85,66,234,81,Solo
Why'd You Only Call Me When You're High?,Arctic Monkeys,garage rock,2013,2020‑06‑11,69,80,161,90,Band/Group
Do I Wanna Know?,Arctic Monkeys,garage rock,2013,2020‑06‑11,55,41,272,89,Band/Group
The Way,Ariana Grande,dance pop,2013,2020‑06‑11,65,86,227,71,Solo
Wake Me Up,Avicii,dance pop,2013,2020‑06‑11,53,64,247,89,Solo
I Could Be The One (Avicii Vs. Nicky Romero) - Radio Edit,Avicii,dance pop,2012,2020‑06‑11,51,64,208,73,Solo
Here's to Never Growing Up,Avril Lavigne,canadian pop,2013,2020‑06‑11,48,74,214,75,Solo
Sail,AWOLNATION,la indie,2011,2020‑06‑11,83,27,259,80,Band/Group
Harlem Shake,Baauer,bass trap,2013,2020‑06‑11,45,28,197,63,Solo
Pompeii,Bastille,metropopolis,2013,2020‑06‑11,68,57,214,80,Band/Group
Of The Night,Bastille,metropopolis,2013,2020‑06‑11,67,35,214,66,Band/Group
Get Up (Rattle),Bingo Players,big room,2013,2020‑06‑11,80,80,167,61,Duo
Sure Be Cool If You Did,Blake Shelton,contemporary country,2013,2020‑06‑11,58,58,216,61,Solo
Ready or Not,Bridgit Mendler,dance pop,2012,2020‑06‑11,72,75,201,77,Solo
Work Bitch,Britney Spears,dance pop,2013,2020‑06‑11,63,85,248,76,Solo
Locked out of Heaven,Bruno Mars,dance pop,2012,2020‑06‑11,73,87,233,91,Solo
When I Was Your Man,Bruno Mars,dance pop,2012,2020‑06‑11,61,39,214,89,Solo
Treasure,Bruno Mars,dance pop,2012,2020‑06‑11,87,94,179,83,Solo
Sweet Nothing (feat. Florence Welch),Calvin Harris,dance pop,2012,2020‑06‑11,57,58,213,76,Solo
I Need Your Love (feat. Ellie Goulding),Calvin Harris,dance pop,2012,2020‑06‑11,70,58,235,75,Solo
Thinking About You (feat. Ayah Marar),Calvin Harris,dance pop,2012,2020‑06‑11,73,75,248,71,Solo
Drinking from the Bottle (feat. Tinie Tempah),Calvin Harris,dance pop,2012,2020‑06‑11,67,53,240,67,Solo
Safe And Sound,Capital Cities,metropopolis,2013,2020‑06‑11,66,77,193,87,Duo
3005,Childish Gambino,atl hip hop,2013,2020‑06‑11,47,64,234,83,Solo
Fine China,Chris Brown,dance pop,2014,2020‑06‑11,65,59,213,66,Solo
The Mother We Share,CHVRCHES,electropop,2013,2020‑06‑11,46,34,191,61,Band/Group
Body Party,Ciara,dance pop,2013,2020‑06‑11,58,12,234,70,Solo
Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Daft Punk,electro,2013,2020‑06‑11,79,86,248,88,Duo
Lose Yourself to Dance (feat. Pharrell Williams),Daft Punk,electro,2013,2020‑06‑11,83,67,354,74,Duo
Play Hard (feat. Ne-Yo & Akon),David Guetta,big room,2011,2020‑06‑11,69,80,201,65,Solo
Heart Attack,Demi Lovato,dance pop,2013,2020‑06‑11,50,50,211,85,Solo
White Noise,Disclosure,edm,2013,2020‑06‑11,68,87,278,54,Duo
"Hold On, We're Going Home",Drake,canadian hip hop,2013,2020‑06‑11,78,29,228,76,Solo
Started From the Bottom,Drake,canadian hip hop,2013,2020‑06‑11,79,58,174,71,Solo
Need U (100%) (feat. A*M*E) - Radio Edit,Duke Dumont,destroy techno,2013,2020‑06‑11,67,46,174,65,Solo
The Monster,Eminem,detroit hip hop,2013,2020‑06‑11,78,62,250,81,Solo
Berzerk,Eminem,detroit hip hop,2013,2020‑06‑11,74,68,239,72,Solo
My Songs Know What You Did In The Dark (Light Em Up),Fall Out Boy,emo,2013,2020‑06‑11,56,57,187,77,Band/Group
I Cry,Flo Rida,dance pop,2012,2020‑06‑11,69,76,224,69,Solo
Cruise,Florida Georgia Line,contemporary country,2012,2020‑06‑11,46,88,209,63,Duo
I Love It (feat. Charli XCX),Icona Pop,candy pop,2013,2020‑06‑11,71,82,157,74,Duo
Demons,Imagine Dragons,modern rock,2012,2020‑06‑11,51,43,175,78,Band/Group
Radioactive,Imagine Dragons,modern rock,2012,2020‑06‑11,45,24,187,77,Band/Group
Power Trip (feat. Miguel),J. Cole,conscious hip hop,2013,2020‑06‑11,67,48,241,81,Solo
Talk Dirty (feat. 2 Chainz),Jason Derulo,dance pop,2013,2020‑06‑11,76,76,178,71,Solo
The Other Side,Jason Derulo,dance pop,2013,2020‑06‑11,56,52,227,66,Solo
Holy Grail,JAY-Z,east coast hip hop,2013,2020‑06‑11,68,16,338,68,Solo
Love Me Again,John Newman,dance pop,2013,2020‑06‑11,50,21,240,69,Solo
Beauty And A Beat,Justin Bieber,canadian pop,2012,2020‑06‑11,60,53,228,78,Solo
Mirrors,Justin Timberlake,dance pop,2013,2020‑06‑11,57,51,484,83,Solo
Suit & Tie (feat. Jay-Z),Justin Timberlake,dance pop,2013,2020‑06‑11,80,36,326,72,Solo
Black Skinhead,Kanye West,chicago rap,2013,2020‑06‑11,77,33,188,80,Solo
This Is How We Do,Katy Perry,dance pop,2013,2020‑06‑11,69,80,204,66,Solo
Sonnentanz - Sun Don't Shine,Klangkarussell,austrian pop,2013,2020‑06‑11,59,17,236,56,Duo
All I Want,Kodaline,irish pop,2013,2020‑06‑11,19,16,306,86,Band/Group
High Hopes,Kodaline,irish pop,2013,2020‑06‑11,49,22,230,73,Band/Group
Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix,Lana Del Rey,art pop,2013,2020‑06‑11,57,11,215,78,Solo
Love Me,Lil Wayne,hip hop,2013,2020‑06‑11,67,50,255,73,Solo
Somewhere Only We Know,Lily Allen,dance pop,2014,2020‑06‑11,31,29,209,56,Solo
Royals,Lorde,art pop,2013,2020‑06‑11,67,34,190,83,Solo
Team,Lorde,art pop,2013,2020‑06‑11,69,42,193,82,Solo
Can't Hold Us (feat. Ray Dalton),Macklemore & Ryan Lewis,dance pop,2012,2020‑06‑11,64,85,258,87,Duo
Thrift Shop (feat. Wanz),Macklemore & Ryan Lewis,dance pop,2012,2020‑06‑11,78,67,236,79,Duo
Same Love (feat. Mary Lambert),Macklemore & Ryan Lewis,dance pop,2012,2020‑06‑11,69,30,319,69,Duo
Daylight,Maroon 5,pop,2012,2020‑06‑11,66,33,225,66,Band/Group
Animals - Radio Edit,Martin Garrix,dance pop,2016,2020‑06‑11,59,4,176,64,Solo
It's a Beautiful Day,Michael Bublé,adult standards,2013,2020‑06‑11,53,78,199,71,Solo
We Can't Stop,Miley Cyrus,dance pop,2013,2020‑06‑11,61,48,231,83,Solo
I Will Wait,Mumford & Sons,modern folk rock,2012,2020‑06‑11,48,45,277,73,Band/Group
La La La,Naughty Boy,tropical house,2013,2020‑06‑11,75,25,221,63,Solo
Hey Porsche,Nelly,dance pop,2013,2020‑06‑11,73,95,209,49,Solo
Little Talks,Of Monsters and Men,folk-pop,2012,2020‑06‑11,46,42,267,85,Band/Group
Best Song Ever,One Direction,boy band,2013,2020‑06‑11,65,49,200,81,Band/Group
One Way or Another (Teenage Kicks),One Direction,boy band,2013,2020‑06‑11,49,41,157,71,Band/Group
True Love (feat. Lily Allen),P!nk,dance pop,2012,2021‑10‑19,46,58,231,76,Solo
Still into You,Paramore,candy pop,2013,2020‑06‑11,60,77,216,85,Band/Group
Ain't It Fun,Paramore,candy pop,2013,2020‑06‑25,61,67,297,78,Band/Group
Home,Phillip Phillips,folk-pop,2013,2020‑06‑11,61,32,210,73,Solo
Feel This Moment (feat. Christina Aguilera),Pitbull,dance pop,2012,2020‑06‑11,67,54,230,82,Solo
Don't Stop the Party (feat. TJR),Pitbull,dance pop,2012,2020‑06‑11,72,95,206,69,Solo
Blurred Lines,Robin Thicke,contemporary r&b,2013,2020‑06‑11,86,88,263,61,Solo
Waiting All Night (feat. Ella Eyre),Rudimental,dance pop,2013,2020‑06‑11,54,28,293,50,Solo
Reload - Radio Edit,Sebastian Ingrosso,dance pop,2013,2020‑06‑11,49,43,221,73,Solo
Come & Get It,Selena Gomez,dance pop,2013,2020‑06‑11,55,57,232,75,Solo
Look Right Through - MK Vocal Edit,Storm Queen,deep disco house,2013,2020‑06‑11,83,51,148,44,Solo
Papaoutai,Stromae,belgian pop,2013,2020‑06‑11,73,25,232,60,Solo
I Knew You Were Trouble.,Taylor Swift,pop,2012,2020‑06‑11,62,68,220,82,Solo
22,Taylor Swift,pop,2012,2020‑06‑11,66,67,232,74,Solo
Everything Has Changed,Taylor Swift,pop,2012,2020‑06‑11,62,44,245,71,Solo
Chocolate,The 1975,modern alternative rock,2013,2020‑06‑11,59,68,225,66,Band/Group
Ho Hey,The Lumineers,folk-pop,2012,2020‑06‑11,69,35,163,77,Band/Group
Sweater Weather,The Neighbourhood,modern alternative rock,2013,2020‑06‑11,61,40,240,95,Band/Group
What About Us,The Saturdays,bubblegum dance,2013,2020‑06‑11,70,69,221,67,Band/Group
Another Love,Tom Odell,chill pop,2013,2020‑06‑11,45,13,244,94,Solo
Bad (feat. Rihanna) - Remix,Wale,gangster rap,2013,2020‑06‑11,81,45,239,67,Solo
Scream & Shout,will.i.am,dance pop,2013,2020‑06‑11,77,50,283,83,Solo
#thatPOWER,will.i.am,dance pop,2013,2020‑06‑11,80,40,280,74,Solo
The Fox (What Does the Fox Say?),Ylvis,comic,2013,2020‑06‑11,70,55,214,68,Duo
Clarity,Zedd,complextro,2012,2020‑06‑11,51,18,271,80,Solo
She Looks So Perfect,5 Seconds of Summer,boy band,2014,2020‑06‑10,49,44,202,78,Band/Group
Amnesia,5 Seconds of Summer,boy band,2014,2020‑06‑10,57,11,237,71,Band/Group
Heroes (we could be),Alesso,dance pop,2014,2020‑06‑10,52,35,210,58,Solo
The Man,Aloe Blacc,pop soul,2014,2020‑06‑10,31,49,255,63,Solo
Best Day Of My Life,American Authors,indie poptimism,2014,2020‑06‑10,67,54,194,83,Band/Group
Love Me Harder,Ariana Grande,dance pop,2014,2020‑06‑10,47,24,236,80,Solo
Problem,Ariana Grande,dance pop,2014,2020‑06‑10,66,63,194,78,Solo
Break Free,Ariana Grande,dance pop,2014,2020‑06‑10,69,28,215,80,Solo
Hey Brother,Avicii,dance pop,2013,2020‑06‑10,55,46,255,82,Solo
Shower,Becky G,dance pop,2014,2020‑06‑10,70,12,206,83,Solo
Drunk in Love (feat. Jay-Z),Beyoncé,dance pop,2014,2020‑06‑10,59,40,323,75,Solo
Hot N*gga,Bobby Shmurda,nyc rap,2014,2020‑06‑10,79,18,195,78,Solo
Summer,Calvin Harris,dance pop,2014,2020‑06‑10,60,74,223,86,Solo
Blame (feat. John Newman),Calvin Harris,dance pop,2014,2020‑06‑10,41,35,213,81,Solo
Under Control (feat. Hurts),Calvin Harris,dance pop,2014,2020‑06‑10,54,51,184,77,Solo
Boom Clap,Charli XCX,art pop,2014,2020‑06‑10,66,58,170,54,Solo
Loyal (feat. Lil Wayne & Tyga),Chris Brown,dance pop,2014,2020‑06‑10,84,62,265,78,Solo
New Flame (feat. Usher & Rick Ross),Chris Brown,dance pop,2014,2020‑06‑10,70,45,244,73,Solo
Rather Be (feat. Jess Glynne),Clean Bandit,dance pop,2014,2020‑06‑10,80,55,228,77,Band/Group
First,Cold War Kids,alternative rock,2014,2020‑06‑10,47,56,200,71,Band/Group
Magic,Coldplay,permanent wave,2014,2020‑06‑10,74,35,285,78,Band/Group
A Sky Full of Stars,Coldplay,permanent wave,2014,2020‑06‑10,55,16,268,85,Band/Group
Bad (feat. Vassy) - Radio Edit,David Guetta,big room,2014,2020‑06‑10,61,41,171,56,Solo
Lovers on the Sun (feat. Sam Martin),David Guetta,big room,2014,2020‑06‑10,65,57,204,53,Solo
Latch,Disclosure,edm,2013,2020‑06‑10,73,54,256,75,Duo
Turn Down for What,DJ Snake,dance pop,2013,2020‑06‑10,82,8,214,76,Solo
You Know You Like It,DJ Snake,dance pop,2014,2020‑06‑10,41,25,247,75,Solo
I Got U,Duke Dumont,destroy techno,2014,2020‑06‑10,64,46,286,65,Solo
Cool Kids,Echosmith,dance pop,2013,2020‑06‑10,72,79,238,76,Band/Group
Don't,Ed Sheeran,pop,2014,2020‑06‑10,81,85,220,78,Solo
Sing,Ed Sheeran,pop,2014,2020‑06‑10,82,94,235,75,Solo
Ugly Heart,G.R.L.,dance pop,2014,2020‑06‑10,65,45,198,70,Band/Group
Budapest,George Ezra,folk-pop,2014,2020‑06‑10,72,39,201,83,Solo
Blame It on Me,George Ezra,folk-pop,2014,2021‑08‑09,54,42,196,73,Solo
Ready For Your Love,Gorgon City,deep groove house,2014,2020‑06‑10,68,47,199,51,Duo
Fancy,Iggy Azalea,australian hip hop,2014,2020‑06‑10,91,38,200,74,Solo
Black Widow,Iggy Azalea,australian hip hop,2014,2020‑06‑10,74,52,209,71,Solo
Talk Dirty (feat. 2 Chainz),Jason Derulo,dance pop,2013,2020‑06‑10,76,76,178,71,Solo
Wiggle (feat. Snoop Dogg),Jason Derulo,dance pop,2013,2020‑06‑10,70,72,193,63,Solo
Trumpets,Jason Derulo,dance pop,2013,2020‑06‑10,64,64,217,69,Solo
Don't Tell 'Em,Jeremih,chicago rap,2015,2020‑06‑10,86,39,267,80,Solo
Bang Bang,Jessie J,dance pop,2014,2020‑06‑10,71,75,199,83,Solo
All of Me,John Legend,neo soul,2013,2020‑06‑10,42,33,270,90,Solo
Not a Bad Thing,Justin Timberlake,dance pop,2013,2020‑06‑10,31,11,688,61,Solo
Dark Horse,Katy Perry,dance pop,2013,2020‑06‑10,65,35,216,79,Solo
Show Me (feat. Chris Brown),Kid Ink,dance pop,2014,2020‑06‑10,71,66,218,74,Solo
Hideaway,Kiesza,electropop,2014,2020‑06‑10,84,20,252,70,Solo
Jubel - Radio Edit,Klingande,deep house,2013,2020‑06‑29,69,10,202,55,Duo
Jealous,Labrinth,indie poptimism,2014,2020‑06‑10,44,10,288,82,Solo
Prayer in C - Robin Schulz Radio Edit,Lilly Wood and The Prick,french indie pop,2014,2020‑06‑10,76,80,189,77,Duo
Team,Lorde,art pop,2013,2020‑06‑10,69,42,193,82,Solo
Rude,MAGIC!,reggae fusion,2014,2020‑06‑10,77,93,225,85,Band/Group
Maps,Maroon 5,pop,2014,2020‑06‑10,74,88,190,87,Band/Group
Animals,Maroon 5,pop,2014,2020‑06‑10,28,33,231,85,Band/Group
Sugar,Maroon 5,pop,2014,2020‑06‑10,75,88,235,85,Band/Group
All About That Bass,Meghan Trainor,dance pop,2015,2020‑06‑10,81,96,188,78,Solo
Stolen Dance,Milky Chance,german pop,2014,2020‑06‑10,89,73,314,78,Band/Group
Classic,MKTO,dance pop,2012,2020‑06‑10,72,76,175,87,Duo
Waves - Robin Schulz Radio Edit,Mr. Probz,dutch hip hop,2014,2020‑06‑10,83,45,208,82,Solo
Somebody,Natalie La Rose,chicago rap,2014,2020‑06‑10,83,74,190,71,Solo
Jealous - Remix,Nick Jonas,dance pop,2015,2020‑06‑10,68,45,222,71,Solo
Anaconda,Nicki Minaj,dance pop,2014,2020‑06‑10,96,65,260,70,Solo
Am I Wrong,Nico & Vinz,pop rap,2014,2020‑06‑10,73,78,246,82,Duo
CoCo,O.T. Genasis,pop rap,2014,2020‑06‑10,89,18,240,66,Solo
Gecko (Overdrive) - Radio Edit,Oliver Heldens,dance pop,2014,2020‑06‑10,61,76,165,73,Solo
Wrapped Up,Olly Murs,dance pop,2014,2020‑06‑10,79,92,186,68,Solo
Post to Be (feat. Chris Brown & Jhene Aiko),Omarion,dance pop,2014,2020‑06‑10,73,70,227,60,Solo
Night Changes,One Direction,boy band,2014,2020‑06‑10,67,37,227,88,Band/Group
Steal My Girl,One Direction,boy band,2014,2020‑06‑10,54,55,228,84,Band/Group
Counting Stars,OneRepublic,dance pop,2014,2020‑06‑10,66,48,258,80,Band/Group
Love Runs Out,OneRepublic,dance pop,2014,2020‑06‑19,72,74,224,65,Band/Group
Only Love Can Hurt Like This,Paloma Faith,british soul,2014,2020‑08‑20,57,30,233,85,Solo
Ain't It Fun,Paramore,candy pop,2013,2020‑06‑10,61,67,297,78,Band/Group
High (feat. Nicole Millar),Peking Duk,aussietronica,2014,2020‑06‑29,53,38,228,54,Band/Group
"Happy - From ""Despicable Me 2""",Pharrell Williams,pop rap,2014,2020‑06‑10,65,96,233,85,Solo
Timber (feat. Ke$ha),Pitbull,dance pop,2012,2020‑06‑10,58,79,204,86,Solo
Me And My Broken Heart,Rixton,pop,2014,2020‑06‑10,55,55,194,83,Duo
My Love (feat. Jess Glynne),Route 94,deep groove house,2014,2020‑06‑10,81,73,260,78,Solo
Stay With Me,Sam Smith,dance pop,2014,2020‑06‑10,42,18,173,86,Solo
Money On My Mind,Sam Smith,dance pop,2014,2020‑06‑10,69,74,193,67,Solo
Collard Greens,ScHoolboy Q,gangster rap,2014,2020‑06‑10,83,65,300,84,Solo
Man Of The Year,ScHoolboy Q,gangster rap,2014,2020‑06‑10,75,37,216,76,Solo
Geronimo,Sheppard,australian indie,2015,2020‑06‑10,71,46,218,69,Band/Group
Chandelier,Sia,australian dance,2015,2020‑06‑10,40,57,216,73,Solo
Elastic Heart,Sia,australian dance,2015,2020‑06‑10,42,50,257,68,Solo
Nobody To Love,Sigma,dance pop,2014,2020‑06‑10,52,23,190,55,Solo
Style,Taylor Swift,pop,2014,2020‑06‑10,59,49,231,66,Solo
Bad Blood,Taylor Swift,pop,2014,2020‑06‑10,65,29,212,60,Solo
Shake It Off,Taylor Swift,pop,2014,2020‑06‑10,65,94,219,77,Solo
#SELFIE,The Chainsmokers,dance pop,2014,2020‑06‑10,79,66,184,69,Duo
Superheroes,The Script,celtic rock,2014,2020‑06‑10,49,64,245,79,Band/Group
Wasted,Tiësto,big room,2014,2020‑06‑10,64,39,190,68,Solo
Red Lights,Tiësto,big room,2014,2020‑06‑11,65,55,262,72,Solo
2 On (feat. ScHoolboy Q),Tinashe,alternative r&b,2014,2020‑06‑10,74,43,227,77,Solo
Habits (Stay High),Tove Lo,art pop,2014,2020‑06‑10,73,35,209,78,Solo
Talking Body,Tove Lo,art pop,2014,2020‑06‑10,74,11,238,72,Solo
Na Na,Trey Songz,dance pop,2015,2020‑06‑10,67,24,232,68,Solo
Riptide,Vance Joy,folk-pop,2014,2020‑06‑10,48,51,204,83,Solo
Stay The Night - Featuring Hayley Williams Of Paramore,Zedd,complextro,2012,2020‑06‑10,60,46,217,69,Solo
Faded,ZHU,edm,2014,2020‑06‑10,87,61,223,66,Solo
Ghost Town,Adam Lambert,dance pop,2015,2020‑06‑22,70,27,208,69,Solo
Here,Alessia Cara,canadian contemporary r&b,2015,2020‑06‑22,38,33,199,71,Solo
"Honey, I'm Good.",Andy Grammer,dance pop,2014,2020‑06‑19,75,60,199,78,Solo
Love Me Harder,Ariana Grande,dance pop,2014,2020‑06‑19,47,24,236,79,Solo
The Nights,Avicii,dance pop,2014,2020‑06‑19,53,65,177,89,Solo
Waiting For Love,Avicii,dance pop,2015,2020‑06‑19,58,61,231,84,Solo
  7/11,Beyoncé,dance pop,2014,2020‑06‑19,75,56,214,74,Solo
I Don't Fuck With You,Big Sean,detroit hip hop,2015,2020‑06‑19,82,40,284,80,Solo
Electric Love,BØRNS,modern rock,2015,2020‑06‑19,61,52,218,86,Solo
Don't,Bryson Tiller,kentucky hip hop,2015,2020‑06‑19,77,19,198,83,Solo
Outside (feat. Ellie Goulding),Calvin Harris,dance pop,2014,2020‑06‑19,65,42,227,82,Solo
How Deep Is Your Love,Calvin Harris,dance pop,2015,2020‑06‑19,74,34,213,80,Solo
Ayo,Chris Brown,dance pop,2015,2020‑06‑19,82,68,225,76,Solo
Cool for the Summer,Demi Lovato,dance pop,2015,2020‑06‑19,58,34,215,78,Solo
Confident,Demi Lovato,dance pop,2015,2020‑06‑19,59,34,206,69,Solo
Five More Hours,Deorro,dance pop,2017,2020‑06‑19,70,50,212,74,Solo
Omen - Radio Edit,Disclosure,edm,2015,2020‑06‑19,67,62,197,68,Duo
You Know You Like It,DJ Snake,dance pop,2014,2020‑06‑19,41,25,247,74,Solo
Hotline Bling,Drake,canadian hip hop,2016,2020‑06‑19,89,55,267,82,Solo
Jumpman,Drake,canadian hip hop,2015,2020‑06‑19,85,66,206,76,Solo
Thinking out Loud,Ed Sheeran,pop,2014,2020‑06‑19,78,59,282,86,Solo
"Love Me Like You Do - From ""Fifty Shades Of Grey""",Ellie Goulding,dance pop,2015,2020‑06‑19,26,28,253,83,Solo
On My Mind,Ellie Goulding,dance pop,2015,2020‑06‑22,70,74,213,69,Solo
Centuries,Fall Out Boy,emo,2015,2020‑06‑19,39,56,228,84,Band/Group
679 (feat. Remy Boyz),Fetty Wap,new jersey rap,2015,2020‑06‑19,62,60,197,79,Solo
Trap Queen,Fetty Wap,new jersey rap,2015,2020‑06‑19,75,82,222,78,Solo
My Way (feat. Monty),Fetty Wap,new jersey rap,2015,2020‑06‑19,75,54,213,71,Solo
My House,Flo Rida,dance pop,2015,2020‑06‑19,69,74,192,81,Solo
GDFR (feat. Sage the Gemini & Lookas),Flo Rida,dance pop,2015,2020‑06‑19,66,69,190,75,Solo
Mountain at My Gates,Foals,indie rock,2015,2021‑08‑09,50,62,244,69,Band/Group
Runaway (U & I),Galantis,dance pop,2015,2020‑06‑19,51,38,227,79,Duo
Barcelona,George Ezra,folk-pop,2014,2021‑08‑09,63,18,189,70,Solo
Love Myself,Hailee Steinfeld,dance pop,2016,2020‑06‑19,62,32,219,75,Solo
Take Me to Church,Hozier,irish singer-songwriter,2014,2020‑06‑19,57,44,242,80,Solo
Where Are Ü Now (with Justin Bieber),Jack Ü,edm,2015,2020‑06‑19,43,20,250,78,Duo
oui,Jeremih,chicago rap,2015,2020‑06‑19,42,60,238,82,Solo
Classic Man (feat. Roman GianArthur),Jidenna,ghanaian hip hop,2015,2020‑08‑11,79,59,226,63,Solo
What Do You Mean?,Justin Bieber,canadian pop,2015,2020‑06‑19,85,79,206,81,Solo
Way down We Go,KALEO,icelandic indie,2016,2021‑08‑09,49,34,214,81,Band/Group
King Kunta,Kendrick Lamar,conscious hip hop,2015,2020‑06‑19,88,49,235,79,Solo
Stole the Show,Kygo,edm,2016,2020‑06‑19,64,48,223,78,Solo
Nothing Left (feat. Will Heard),Kygo,edm,2015,2020‑06‑19,68,35,237,59,Solo
High By The Beach,Lana Del Rey,art pop,2015,2021‑08‑09,54,10,258,71,Solo
Hurt Me,Låpsley,electropop,2016,2020‑06‑19,66,59,231,55,Solo
Closer,Lemaitre,alternative dance,2017,2021‑08‑09,58,36,271,64,Duo
Lot to Learn,Luke Christopher,indie pop rap,2015,2020‑06‑19,41,60,248,66,Solo
Lean On,Major Lazer,dance pop,2015,2020‑06‑19,72,27,177,76,Trio
Light It Up - Remix,Major Lazer,dance pop,2015,2020‑06‑19,75,75,166,71,Trio
Uptown Funk (feat. Bruno Mars),Mark Ronson,dance pop,2015,2020‑06‑19,86,93,270,86,Solo
Intoxicated - Radio Edit,Martin Solveig,dance pop,2015,2020‑06‑19,79,50,160,62,Solo
All Eyes on You (feat. Chris Brown & Nicki Minaj),Meek Mill,hip hop,2015,2020‑06‑19,59,25,224,73,Solo
Believe,Mumford & Sons,modern folk rock,2015,2020‑06‑19,36,42,221,61,Band/Group
Somebody,Natalie La Rose,chicago rap,2014,2020‑06‑19,83,74,190,69,Solo
That's How You Know (feat. Kid Ink & Bebe Rexha),Nico & Vinz,pop rap,2015,2020‑06‑22,77,74,186,62,Duo
Drive,Oh Wonder,electropop,2015,2021‑08‑09,66,38,196,65,Duo
Post to Be (feat. Chris Brown & Jhene Aiko),Omarion,dance pop,2014,2020‑06‑19,73,70,227,76,Solo
Drag Me Down,One Direction,boy band,2015,2020‑06‑19,73,60,192,84,Band/Group
Perfect,One Direction,boy band,2015,2020‑06‑19,65,40,230,81,Band/Group
Sunset Lover,Petit Biscuit,new french touch,2015,2020‑06‑19,78,24,238,75,Solo
Wish You Were Mine - Radio Edit,Philip George,deep groove house,2014,2020‑06‑19,65,41,178,70,Solo
Time of Our Lives,Pitbull,dance pop,2014,2020‑06‑19,72,72,229,85,Solo
No Type,Rae Sremmurd,hip hop,2015,2020‑06‑19,89,24,200,77,Duo
"Flex (Ooh, Ooh, Ooh)",Rich Homie Quan,atl hip hop,2015,2020‑06‑19,73,89,177,70,Solo
FourFiveSeconds,Rihanna,barbadian pop,2015,2020‑06‑19,58,35,188,82,Solo
Bitch Better Have My Money,Rihanna,barbadian pop,2015,2020‑06‑19,78,40,219,78,Solo
Chill Bill (feat. J. Davi$ & Spooks),Rob $tone,san diego rap,2016,2020‑06‑19,89,23,177,81,Solo
Sugar (feat. Francesco Yates),Robin Schulz,dance pop,2015,2020‑06‑19,64,64,219,81,Solo
Lay It All on Me (feat. Ed Sheeran),Rudimental,dance pop,2015,2020‑06‑19,67,48,242,55,Band/Group
Like I Can,Sam Smith,dance pop,2014,2020‑06‑19,66,48,167,85,Solo
You Don't Own Me (feat. G-Eazy),SAYGRACE,dance pop,2015,2020‑06‑19,34,29,199,60,Solo
Same Old Love,Selena Gomez,dance pop,2015,2020‑06‑22,67,44,229,70,Solo
Hands To Myself,Selena Gomez,dance pop,2015,2020‑06‑19,81,47,201,68,Solo
Good For You,Selena Gomez,dance pop,2015,2020‑06‑22,61,21,222,62,Solo
Geronimo,Sheppard,australian indie,2015,2020‑06‑22,71,46,218,68,Band/Group
Easy Love,Sigala,dance pop,2018,2020‑06‑19,68,65,230,70,Solo
All My Friends (feat. Tinashe & Chance the Rapper),Snakehips,edm,2015,2020‑06‑22,68,18,230,77,Duo
The Less I Know The Better,Tame Impala,australian psych,2015,2020‑06‑19,64,79,216,88,Band/Group
Blank Space,Taylor Swift,pop,2014,2020‑06‑19,75,58,232,79,Solo
Wildest Dreams,Taylor Swift,pop,2014,2020‑06‑19,55,47,220,76,Solo
Bad Blood,Taylor Swift,pop,2015,2020‑06‑19,65,22,200,75,Solo
Style,Taylor Swift,pop,2014,2020‑06‑19,60,46,231,75,Solo
Spirits,The Strumbellas,canadian indie,2016,2021‑08‑09,56,79,204,75,Band/Group
The Hills,The Weeknd,canadian contemporary r&b,2015,2020‑06‑19,59,14,242,88,Solo
Can't Feel My Face,The Weeknd,canadian contemporary r&b,2015,2020‑06‑19,71,58,214,83,Solo
"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack",The Weeknd,canadian contemporary r&b,2014,2020‑06‑19,66,43,252,81,Solo
In The Night,The Weeknd,canadian contemporary r&b,2015,2020‑06‑19,51,54,236,76,Solo
Die A Happy Man,Thomas Rhett,contemporary country,2015,2020‑06‑19,60,40,227,77,Solo
Talking Body,Tove Lo,art pop,2014,2020‑06‑19,74,11,238,71,Solo
Antidote,Travis Scott,hip hop,2015,2020‑06‑19,71,13,263,78,Solo
Slow Motion,Trey Songz,dance pop,2015,2020‑06‑19,73,29,198,75,Solo
Na Na,Trey Songz,dance pop,2015,2020‑06‑19,67,24,232,67,Solo
YOUTH,Troye Sivan,australian pop,2015,2020‑06‑19,63,59,185,70,Solo
